post_id,topic,image,gold,check
5567,cinema,5567.jpg,,
4353,cinema,4353.jpg,10 CENTS MAY 1ST NUMBER 1933 NICOLAS CAGE SPIDER-NOIR MAGAZINE PRIVATE INVESTIGATOR AU 26 WHO IS THE SPIDER? 8 THRILLING TALES!,MODELS DISAGREE — look closely
7264,cinema,7264.jpg,,
7690,cinema,7690.jpg,РЯДОМ С ВАМИ,
7291,cinema,7291.jpg,,
4285,cinema,4285.jpg,IS THIS THING,
5149,cinema,5149.jpg,,
5492,cinema,5492.jpg,EMPIRE EXCLUSIVE,
6741,cinema,6741.jpg,DAVID CARRADINE Bill,
4875,cinema,4875.jpg,I ❤️ Small Movies ALASKA ANCHORAGE,MODELS DISAGREE — look closely
5470,cinema,5470.jpg,8 (WE GIVE UP) SPACEBALLS THE RIDE SPACEBALLS THE EXPERIENCE SPACEBALLS THE OUTBREAK SPACEBALLS THE TET PHASE 9 (GOOD LUCK) AMOUNT OF FOCUS GROUPS PHASE 10?? (IT'S RELATIVE) PHASE 11 (THIS IS FINE) REQUIREMENTS 1. PHASE 2. PHASE 3. PHASE 4. PHASE 5. PHASE,MODELS DISAGREE — look closely
2550,cinema,2550.jpg,"спецпоказ РОССЕЛЛИНИ. ЖИЗНЬ БЕЗ СЦЕНАРИЯ ленфильм 14 МАЯ, 19:00",
4090,cinema,4090.jpg,FESTIVAL DE CANNES 72e FESTIVAL INTERNATIONAL 14 — 25 MAI 2019,MODELS DISAGREE — look closely
4511,cinema,4511.jpg,QUEEN MARLENA MASTERS OF THE UNIVERSE ONLY IN THEATERS JUNE 5,
2609,cinema,2609.jpg,Алания МЕЖДУНАРОДНЫЙ ФЕСТИВАЛЬ АУТЕНТИЧНОГО КИНО,
7058,cinema,7058.jpg,,
5548,cinema,5548.jpg,У Netflix украли диск с новым фильмом с Николасом Кейджем в главной роли,
2491,cinema,2491.jpg,СЛУЖЕБНЫЙ РОМАН (1977) реж. эльдар рязанов,
2908,cinema,2908.jpg,,
2336,cinema,2336.jpg,ЛОМАНЫЙ АНГЛИЙСКИЙ реж. иэн форсайт и джейн поллард,
5399,cinema,5399.jpg,"LA LA LAND La La Land @LaLaLand Исходный язык: английский Показать оригинал Небольшая корректировка. Отметьте 10-летие #LaLaLand в @Dolby Cinema в @AMCTheatres. Испытайте фильм снова на большом экране, начиная с 16 августа. Получите билеты сейчас: amctheatres.com/movies/la-la-l... Оцените этот перевод: HERE'S TO THE FOOLS WHO DREAM RYAN GOSLING EMMA STONE LA LA LAND WRITTEN AND DIRECTED BY DAMIEN CHAZELLE",
3086,cinema,3086.jpg,1994,
7886,cinema,7886.jpg,,
4947,cinema,4947.jpg,,
7009,cinema,7009.jpg,,
