query_id,post_id,grade,reason,model,seconds
c04,4082,1,Mentions film but no box office data,qwen3.6-35b-a3b,2.73
c04,4915,1,Related film but no box office data,qwen3.6-35b-a3b,5.64
c04,18251,0,"Post discusses reshoots, not box office revenue",qwen3.6-35b-a3b,6.88
c04,5595,2,Directly states the box office revenue,qwen3.6-35b-a3b,6.45
c04,5945,1,Mentions Spider-Man but lacks specific box office data,qwen3.6-35b-a3b,5.59
c04,5837,2,Directly answers box office query,qwen3.6-35b-a3b,7.66
c04,5495,2,Directly addresses box office predictions,qwen3.6-35b-a3b,7.22
c04,21187,2,Directly answers the query about box office,qwen3.6-35b-a3b,4.89
c04,21102,2,Post discusses box office success of the film,qwen3.6-35b-a3b,4.80
c04,6133,2,Directly states Spider-Man box office,qwen3.6-35b-a3b,7.99
c04,15045,1,Mentions box office but focuses on piracy ban,qwen3.6-35b-a3b,8.21
c04,5934,2,Contains exact box office figures for the film,qwen3.6-35b-a3b,5.53
c04,21627,2,Directly states the box office revenue,qwen3.6-35b-a3b,5.46
c04,21371,2,Directly answers query with box office data,qwen3.6-35b-a3b,5.43
c04,21002,2,Directly answers the query with box office figures,qwen3.6-35b-a3b,5.44
c04,5565,2,Post lists box office for the queried film,qwen3.6-35b-a3b,6.59
c04,6024,2,Directly answers the query about box office,qwen3.6-35b-a3b,6.60
c05,3579,2,Directly confirms the film is at Cannes,qwen3.6-35b-a3b,4.67
c05,3659,2,Post discusses Zvyagintsev's Minotaur at Cannes,qwen3.6-35b-a3b,5.67
c05,3574,2,"Post shows Minotaur footage, relevant to Cannes",qwen3.6-35b-a3b,5.26
c05,2621,2,Directly addresses the query about the film at Cannes,qwen3.6-35b-a3b,4.53
c05,3588,2,Post discusses Zvyagintsev's Minotaur at Cannes,qwen3.6-35b-a3b,13.27
c05,3760,1,"Same film, different festival news",qwen3.6-35b-a3b,7.62
c05,6149,2,Post confirms Minotaur won Grand Prix at Cannes,qwen3.6-35b-a3b,9.28
c05,4663,2,Confirms Minotaur won Grand Prix at Cannes,qwen3.6-35b-a3b,13.50
c05,4027,2,Post confirms Minotaur in Cannes competition,qwen3.6-35b-a3b,9.33
c05,2698,2,Post lists review of Zvyagintsev's Minotaur,qwen3.6-35b-a3b,10.01
c05,2717,2,Post confirms Minotaur at Cannes,qwen3.6-35b-a3b,7.86
c05,13002,2,Directly addresses the query about the film,qwen3.6-35b-a3b,4.84
c05,4715,0,"Post discusses Pan's Labyrinth, not Minotaur",qwen3.6-35b-a3b,6.01
c05,5254,2,Post confirms Minotaur won Grand Prix at Cannes,qwen3.6-35b-a3b,5.82
c05,4605,2,Post discusses Zvyagintev's Minotaur at Cannes,qwen3.6-35b-a3b,5.03
c05,2324,0,Different film and director mentioned,qwen3.6-35b-a3b,3.83
c05,4526,0,"Post discusses a different film, not Zvyagintsev's Minotaur",qwen3.6-35b-a3b,5.01
c05,4574,0,Different director and film,qwen3.6-35b-a3b,3.05
c05,4664,0,No mention of Zvyagintsev or Minotaur,qwen3.6-35b-a3b,7.28
c05,4570,0,Discusses different film and director,qwen3.6-35b-a3b,3.47
c05,3567,2,Post discusses Zvyagintev's Minotaur at Cannes,qwen3.6-35b-a3b,7.43
c05,3520,2,Confirms Minotaur in Cannes main competition,qwen3.6-35b-a3b,7.95
c05,3582,2,Post discusses Minotaur at Cannes,qwen3.6-35b-a3b,8.41
c05,3457,2,Post discusses Zvyagintsev's Minotaur at Cannes,qwen3.6-35b-a3b,11.01
c05,2291,2,Post lists Minotaur in Cannes 2026,qwen3.6-35b-a3b,11.40
c05,3725,1,"Mentions film but focuses on posters, not Cannes",qwen3.6-35b-a3b,14.48
c05,6131,2,Post confirms Minotaur at Cannes,qwen3.6-35b-a3b,13.13
c05,3592,1,Mentions Zvyagintsev's film but not Cannes screening,qwen3.6-35b-a3b,9.53
c05,2654,2,Post confirms Minotaur won Grand Prix,qwen3.6-35b-a3b,9.91
c05,3568,2,Confirms Minotaur screening at Cannes,qwen3.6-35b-a3b,6.40
c05,2248,2,Directly addresses the query about Minotaur at Cannes,qwen3.6-35b-a3b,5.17
c05,1708,0,"Generic Cannes festival imagery, no Zvyagintsev",qwen3.6-35b-a3b,5.30
c06,7713,2,Directly shows the requested 1987 magazine cover,qwen3.6-35b-a3b,6.48
c06,7729,2,Directly shows the requested 1987 magazine cover,qwen3.6-35b-a3b,7.35
c06,7745,2,Directly shows the requested 1987 magazine cover,qwen3.6-35b-a3b,6.95
c06,7761,2,Directly shows the requested 1987 magazine cover,qwen3.6-35b-a3b,6.42
c06,7412,2,Post provides the requested magazine cover,qwen3.6-35b-a3b,6.08
c06,7430,2,Directly provides the requested magazine cover,qwen3.6-35b-a3b,8.82
c06,7446,2,Directly provides the requested magazine cover,qwen3.6-35b-a3b,5.64
c06,7462,2,Directly provides the requested magazine cover,qwen3.6-35b-a3b,4.06
c06,7478,2,Directly provides the requested magazine cover,qwen3.6-35b-a3b,4.06
c06,7494,2,Post provides the requested magazine cover,qwen3.6-35b-a3b,6.07
c06,7510,2,Directly provides the requested magazine cover,qwen3.6-35b-a3b,4.21
c06,7526,2,Directly provides the requested magazine cover,qwen3.6-35b-a3b,4.68
c06,7542,2,Directly provides the requested magazine issue,qwen3.6-35b-a3b,6.69
c06,7558,2,Directly provides the requested magazine cover,qwen3.6-35b-a3b,3.85
c06,7574,2,Directly provides the requested magazine cover,qwen3.6-35b-a3b,6.48
c06,7589,2,Directly provides the requested magazine issue,qwen3.6-35b-a3b,6.15
c06,7604,2,Directly provides the requested magazine cover,qwen3.6-35b-a3b,4.65
c06,7619,2,Post provides the requested magazine cover,qwen3.6-35b-a3b,4.13
c06,7648,2,Directly provides the requested magazine issue,qwen3.6-35b-a3b,3.90
c06,7663,2,Directly provides the requested magazine issue,qwen3.6-35b-a3b,3.50
c06,7681,2,Post offers the requested 1987 magazine issue,qwen3.6-35b-a3b,5.56
c06,7697,2,Directly provides the requested magazine issue,qwen3.6-35b-a3b,3.96
c07,18955,0,"Post discusses War of the Worlds, not The Mummy",qwen3.6-35b-a3b,5.80
c07,18420,2,Directly provides critic reviews for the film.,qwen3.6-35b-a3b,5.53
c07,18130,0,"Post is about trailer, not reviews",qwen3.6-35b-a3b,6.10
c07,4149,2,Directly provides critic reviews for the film.,qwen3.6-35b-a3b,5.83
c07,18616,0,"Post discusses release date, not reviews",qwen3.6-35b-a3b,5.57
c07,2596,0,"Post is about James Gray, not Guillermo del Toro",qwen3.6-35b-a3b,6.75
c07,18141,1,"Mentions trailer, not reviews",qwen3.6-35b-a3b,7.48
c07,22767,0,"Post is about archaeology, not film reviews",qwen3.6-35b-a3b,14.34
c07,9022,0,Meme unrelated to The Mummy film reviews,qwen3.6-35b-a3b,12.21
c07,24689,0,"Post discusses Russian literature awards, not the film.",qwen3.6-35b-a3b,8.04
c07,2698,0,No mention of Cronin's Mummy,qwen3.6-35b-a3b,5.63
c07,18091,0,"Post discusses Scream 7, not The Mummy",qwen3.6-35b-a3b,6.17
c07,25110,0,"Post is about author Brussolo, not the film",qwen3.6-35b-a3b,6.52
c07,6085,0,Post discusses a different film entirely,qwen3.6-35b-a3b,6.48
c07,20181,0,"Post discusses Minions, not The Mummy",qwen3.6-35b-a3b,11.39
c07,19983,0,"Post discusses Supergirl, not The Mummy",qwen3.6-35b-a3b,11.07
c07,11711,0,"Post is about BMW, not the movie",qwen3.6-35b-a3b,10.50
c07,22568,0,"Post is about a hedgehog mummy, not the film.",qwen3.6-35b-a3b,12.53
c07,21703,0,"Post is about a video game, not the film.",qwen3.6-35b-a3b,12.03
c07,24620,0,"Post discusses Sapkowski's book, not the film",qwen3.6-35b-a3b,8.86
c07,7946,2,Direct review of Cronin's Mummy,qwen3.6-35b-a3b,10.18
c07,5261,0,"Post discusses Moana remake, not The Mummy.",qwen3.6-35b-a3b,9.45
c07,2214,0,"Post discusses Rosebud Pruning, not The Mummy",qwen3.6-35b-a3b,8.73
c07,2865,0,Post is about a different film,qwen3.6-35b-a3b,4.56
c07,25764,0,Post discusses ,qwen3.6-35b-a3b,6.34
c07,24839,0,"Post discusses a book, not the film.",qwen3.6-35b-a3b,7.33
c07,4240,0,"Release date news, not critic reviews",qwen3.6-35b-a3b,8.18
c07,20908,0,"Post mentions old Mummy cast, not Cronin's film reviews",qwen3.6-35b-a3b,9.09
c07,25175,0,"Post discusses a different film, not The Mummy.",qwen3.6-35b-a3b,7.00
c07,20900,0,"News about casting, not reviews",qwen3.6-35b-a3b,6.14
c07,25288,0,"Post discusses Ranovskaya, not Cronin's Mummy",qwen3.6-35b-a3b,9.34
c07,5373,0,"Post discusses Kubrick, not Cronin's Mummy",qwen3.6-35b-a3b,12.89
c07,20259,0,"Post discusses Moana, not The Mummy",qwen3.6-35b-a3b,10.59
c07,3635,0,"Post is about tоска, not The Mummy",qwen3.6-35b-a3b,9.48
c07,24827,0,"Post discusses a book, not the film",qwen3.6-35b-a3b,10.63
c07,6326,0,"Post is about Last Ronin 2, not The Mummy.",qwen3.6-35b-a3b,9.73
c07,3762,0,"News about filming, not reviews",qwen3.6-35b-a3b,6.87
c07,23292,0,"Post is about astronomy, not the movie",qwen3.6-35b-a3b,5.78
c07,23546,0,"Post is about astronomy, not the movie",qwen3.6-35b-a3b,8.07
c07,4093,1,Mentions review but not specific to the film,qwen3.6-35b-a3b,5.62
c07,6840,0,"Post discusses Exhuma, not The Mummy",qwen3.6-35b-a3b,10.86
c07,7924,0,"Giveaway post, not a review",qwen3.6-35b-a3b,9.32
c07,25174,0,Post discusses a different film and author,qwen3.6-35b-a3b,6.71
c07,3747,0,"Post discusses Werner Herzog's film, not The Mummy",qwen3.6-35b-a3b,8.22
c07,18122,0,"Post discusses Mario movie, not The Mummy",qwen3.6-35b-a3b,6.95
c08,7120,0,"Post describes a search tool, not new films",qwen3.6-35b-a3b,6.23
c08,6841,0,"Post discusses Asian horror, not Blumhouse",qwen3.6-35b-a3b,5.66
c08,18100,2,Directly answers query about new Blumhouse horror,qwen3.6-35b-a3b,6.17
c08,16916,0,"Post is about Indian horror, not Blumhouse",qwen3.6-35b-a3b,5.90
c08,4295,2,Post announces new Blumhouse horror movie,qwen3.6-35b-a3b,7.46
c08,4848,0,"Post about John Carpenter, not Blumhouse",qwen3.6-35b-a3b,9.89
c08,9325,1,"Meme about horror genres, not new Blumhouse films",qwen3.6-35b-a3b,12.81
c08,19769,2,Post mentions Blumhouse producing a horror film,qwen3.6-35b-a3b,7.23
c08,5202,1,Mentions horror films but not Blumhouse,qwen3.6-35b-a3b,5.38
c08,5022,2,News about new Blumhouse horror film,qwen3.6-35b-a3b,5.21
c08,1754,2,Post announces new Blumhouse horror film,qwen3.6-35b-a3b,6.52
c08,19359,0,"Post is about Cannes, not Blumhouse",qwen3.6-35b-a3b,8.96
c08,8336,0,"Post is about workday emotions, not Blumhouse horror films",qwen3.6-35b-a3b,7.76
c08,12820,0,"Post is about electric scooters, not horror movies",qwen3.6-35b-a3b,4.08
c08,12958,0,"Post is about Russian science, not horror movies",qwen3.6-35b-a3b,5.87
c08,13587,0,Unrelated German politics news,qwen3.6-35b-a3b,8.86
c08,21251,1,Related film but not Blumhouse,qwen3.6-35b-a3b,6.88
c08,4825,0,"Superhero film, not Blumhouse horror",qwen3.6-35b-a3b,2.71
c08,5185,0,"Post is about Minions, not Blumhouse horror",qwen3.6-35b-a3b,3.54
c08,12791,0,"Post is about food standards, not horror movies",qwen3.6-35b-a3b,3.11
c08,7939,2,Announces new Blumhouse horror film,qwen3.6-35b-a3b,5.19
c08,3883,1,"Related horror, but not Blumhouse",qwen3.6-35b-a3b,4.77
c08,4385,0,"Post is about Evil Dead, not Blumhouse",qwen3.6-35b-a3b,5.45
c08,18114,1,"Mentions Scream 8, not Blumhouse",qwen3.6-35b-a3b,9.72
c08,20410,0,"Post is about Ramsey Campbell, not Blumhouse",qwen3.6-35b-a3b,9.57
c08,5478,0,"Post is about Avengers, not Blumhouse horror",qwen3.6-35b-a3b,10.83
c08,3154,0,"Russian thriller, not Blumhouse horror",qwen3.6-35b-a3b,8.09
c08,5157,0,"Post is about Evil Dead, not Blumhouse",qwen3.6-35b-a3b,7.14
c08,4330,2,Post confirms new Blumhouse horror sequel,qwen3.6-35b-a3b,9.24
c08,21973,0,"Post is about a TV series, not Blumhouse horror films",qwen3.6-35b-a3b,10.90
c08,20022,0,"Not Blumhouse, not horror",qwen3.6-35b-a3b,9.56
c08,21303,0,No mention of Blumhouse or horror news,qwen3.6-35b-a3b,9.32
c08,21916,2,Post announces new Blumhouse horror,qwen3.6-35b-a3b,10.70
c08,21630,0,Not Blumhouse production,qwen3.6-35b-a3b,4.70
c08,2430,1,Mentions Blumhouse but focuses on A24 film,qwen3.6-35b-a3b,14.53
c08,18313,0,"Post is about Abattoir, not Blumhouse",qwen3.6-35b-a3b,4.41
c08,1964,0,"Post is about a film festival, not new Blumhouse horror movies",qwen3.6-35b-a3b,14.13
c08,7955,0,"Mentions DiCaprio, not Blumhouse",qwen3.6-35b-a3b,9.96
c08,6639,1,"Marketing case, not the horror film itself",qwen3.6-35b-a3b,10.16
c08,3926,0,Not related to Blumhouse or horror,qwen3.6-35b-a3b,15.85
c08,6437,0,"Post discusses A24, not Blumhouse",qwen3.6-35b-a3b,19.64
c08,3906,1,"Mentions horror, but not Blumhouse",qwen3.6-35b-a3b,12.42
c08,19908,0,"Post is about anime, not Blumhouse",qwen3.6-35b-a3b,9.91
c08,19015,0,"Post is about A24, not Blumhouse",qwen3.6-35b-a3b,8.99
c08,4200,0,"Post is about Evil Dead, not Blumhouse",qwen3.6-35b-a3b,6.68
c08,20525,1,"Horror news, but not Blumhouse",qwen3.6-35b-a3b,5.71
c08,4108,0,Not Blumhouse films,qwen3.6-35b-a3b,4.39
c08,19467,1,"Horror film, but not Blumhouse",qwen3.6-35b-a3b,4.33
c09,21618,2,Recommends Soviet films with actor Leo,qwen3.6-35b-a3b,4.46
c09,3468,2,Directly answers the query with a guide,qwen3.6-35b-a3b,5.21
c09,2695,1,Discusses Soviet cinema but promotes an event,qwen3.6-35b-a3b,7.66
c09,7796,2,Recommends a Soviet film with a famous song,qwen3.6-35b-a3b,7.65
c09,6551,2,Directly recommends a Soviet film,qwen3.6-35b-a3b,5.76
c09,2516,1,"Related to Soviet cinema discussion, not recommendations",qwen3.6-35b-a3b,5.29
c09,5323,1,"Mentions Soviet sci-fi, but not a recommendation",qwen3.6-35b-a3b,10.32
c09,20156,2,Post lists Soviet cinema recommendations,qwen3.6-35b-a3b,10.64
c09,5380,1,Related to cinema but no specific recommendations,qwen3.6-35b-a3b,11.82
c09,2356,2,Recommends Soviet film analysis,qwen3.6-35b-a3b,12.13
c09,11024,0,Not relevant to Soviet cinema recommendations,qwen3.6-35b-a3b,13.32
c09,3984,1,Mentions films but focuses on hotel promotion,qwen3.6-35b-a3b,17.66
c09,2669,1,Mentions Soviet cinema era discussion,qwen3.6-35b-a3b,15.83
c09,2456,1,Discusses Soviet cinema but is an event ad,qwen3.6-35b-a3b,19.47
c09,3930,0,"Documentary about autism, not Soviet cinema",qwen3.6-35b-a3b,16.45
c09,7656,2,Lists Soviet films for viewing,qwen3.6-35b-a3b,7.61
c09,19683,0,"Post discusses Spielberg, not Soviet cinema",qwen3.6-35b-a3b,7.94
c09,6756,1,"Mentions old western, but focuses on sound effect",qwen3.6-35b-a3b,6.39
c09,21728,0,"Post suggests Lego horror, not Soviet cinema",qwen3.6-35b-a3b,3.55
c09,11735,0,"Post is about a watch, not movies",qwen3.6-35b-a3b,3.40
c09,5315,1,Mentions Soviet cinema but not specific recommendations,qwen3.6-35b-a3b,4.62
c09,7683,2,Directly answers the query with a Soviet film recommendation,qwen3.6-35b-a3b,5.21
c09,7730,0,No movie recommendations provided,qwen3.6-35b-a3b,3.21
c09,7463,0,No content or recommendations provided,qwen3.6-35b-a3b,3.82
c09,7431,0,No movie recommendations provided,qwen3.6-35b-a3b,3.59
c09,7762,0,No movie recommendations provided,qwen3.6-35b-a3b,3.59
c09,7413,0,No movie recommendations provided,qwen3.6-35b-a3b,3.72
c09,7447,0,No movie recommendations provided,qwen3.6-35b-a3b,3.68
c09,7559,0,No movie recommendations provided,qwen3.6-35b-a3b,4.48
