query_id,post_id,found_by
c02,4835,dense:full@5 hybrid+rerank:full@10 hybrid+rerank:text@10 hybrid+rerank:text_ocr_caption@10
c02,4920,dense:full@6 hybrid+rerank:full@6 hybrid+rerank:text@6 hybrid+rerank:text_ocr_caption@6
c02,4650,dense:full@7 hybrid+rerank:full@13
c02,19379,dense:full@8 hybrid:full@6 hybrid:text@6 hybrid:text_ocr@4 hybrid:text_ocr_caption@6 sparse:full@5
c02,5026,dense:full@9 hybrid+rerank:full@15
c02,4730,dense:full@10 hybrid+rerank:full@14
c02,4072,dense:full@11 hybrid+rerank:full@7 hybrid+rerank:text@7 hybrid+rerank:text_ocr_caption@7
c02,4818,dense:full@12 hybrid+rerank:full@8 hybrid+rerank:text@8 hybrid+rerank:text_ocr_caption@8
c02,4767,dense:full@14 hybrid+rerank:full@2 hybrid+rerank:text@2 hybrid+rerank:text_ocr_caption@2 hybrid:full@10 hybrid:text@10 hybrid:text_ocr@10 hybrid:text_ocr_caption@10 sparse:full@7
c02,18109,dense:full@15 hybrid+rerank:full@16 sparse:full@10
c02,5132,dense:full@16 hybrid:full@4 hybrid:text@7 hybrid:text_ocr@5 hybrid:text_ocr_caption@4 sparse:full@3
c02,4824,hybrid:full@3 hybrid:text@3 hybrid:text_ocr@3 hybrid:text_ocr_caption@3 sparse:full@2
c02,6836,hybrid+rerank:full@12
c02,6942,hybrid+rerank:full@17
c02,4807,hybrid+rerank:full@18
c02,6623,hybrid+rerank:full@20
c03,6061,bm25:full@1 dense:full@7 hybrid+rerank:full@4 hybrid+rerank:text@4 hybrid+rerank:text_ocr_caption@4 hybrid:full@5 hybrid:text@1 hybrid:text_ocr@5 hybrid:text_ocr_caption@5 sparse:full@2
c03,18665,bm25:full@2 dense:full@2 hybrid+rerank:full@3 hybrid+rerank:text@3 hybrid+rerank:text_ocr_caption@3 hybrid:full@3 hybrid:text@4 hybrid:text_ocr@3 hybrid:text_ocr_caption@3 sparse:full@4
c03,6102,bm25:full@3 dense:full@6 hybrid+rerank:full@1 hybrid+rerank:text@1 hybrid+rerank:text_ocr_caption@1 hybrid:full@1 hybrid:text@7 hybrid:text_ocr@1 hybrid:text_ocr_caption@1 sparse:full@1
c03,19067,bm25:full@4 dense:full@4 hybrid+rerank:full@7 hybrid+rerank:text@7 hybrid+rerank:text_ocr_caption@7 hybrid:full@6 hybrid:text@6 hybrid:text_ocr@6 hybrid:text_ocr_caption@6 sparse:full@5
c03,21074,bm25:full@5
c03,20882,bm25:full@6 dense:full@1 hybrid+rerank:full@6 hybrid+rerank:text@6 hybrid+rerank:text_ocr_caption@6 hybrid:full@2 hybrid:text@5 hybrid:text_ocr@2 hybrid:text_ocr_caption@2 sparse:full@7
c03,4523,bm25:full@7 dense:full@3 hybrid+rerank:full@12 hybrid:full@4 hybrid:text@3 hybrid:text_ocr@4 hybrid:text_ocr_caption@4 sparse:full@3
c03,6329,bm25:full@8 dense:full@18 hybrid+rerank:full@8 hybrid+rerank:text@8 hybrid+rerank:text_ocr_caption@8
c03,21429,bm25:full@9
c03,19734,bm25:full@10 sparse:full@10
c03,18849,bm25:full@11
c03,4311,bm25:full@12 dense:full@12 hybrid+rerank:full@11
c03,5365,bm25:full@13
c03,6105,bm25:full@14 dense:full@10 hybrid+rerank:full@9 hybrid+rerank:text_ocr_caption@9 hybrid:full@10 hybrid:text@2 hybrid:text_ocr_caption@10
c03,5664,bm25:full@15
c03,18900,bm25:full@16
c03,5683,bm25:full@17 dense:full@8 hybrid+rerank:full@2 hybrid+rerank:text@2 hybrid+rerank:text_ocr_caption@2 hybrid:full@9 hybrid:text@8 hybrid:text_ocr@9 hybrid:text_ocr_caption@9 sparse:full@8
c03,3957,bm25:full@18 dense:full@17
c03,6067,bm25:full@19 dense:full@11 hybrid+rerank:full@13 hybrid+rerank:text@10
c03,21683,bm25:full@20
c03,5156,dense:full@5 hybrid+rerank:full@10 hybrid+rerank:text@9 hybrid+rerank:text_ocr_caption@10 hybrid:full@8 hybrid:text@10 hybrid:text_ocr@8 hybrid:text_ocr_caption@8
c03,6040,dense:full@9 hybrid+rerank:full@5 hybrid+rerank:text@5 hybrid+rerank:text_ocr_caption@5 hybrid:full@7 hybrid:text@9 hybrid:text_ocr@7 hybrid:text_ocr_caption@7 sparse:full@6
c03,18924,dense:full@13
c03,5494,dense:full@14
c03,3823,dense:full@15
c03,19726,dense:full@16 hybrid+rerank:full@15
c03,20900,dense:full@19
c03,19132,dense:full@20
c03,6086,hybrid+rerank:full@16 hybrid:text_ocr@10 sparse:full@9
c03,19265,hybrid+rerank:full@14
c03,19580,hybrid+rerank:full@17
c03,20656,hybrid+rerank:full@18
c03,19429,hybrid+rerank:full@19
c03,5477,hybrid+rerank:full@20
c04,21705,bm25:full@1 dense:full@12 hybrid+rerank:full@2 hybrid+rerank:text@4 hybrid+rerank:text_ocr_caption@2 hybrid:full@2 hybrid:text@1 hybrid:text_ocr@1 hybrid:text_ocr_caption@2 sparse:full@1
c04,20336,bm25:full@2
c04,19038,bm25:full@3
c04,20281,bm25:full@4
c04,19553,bm25:full@5
c04,20980,bm25:full@6
c04,5277,bm25:full@7
c04,20391,bm25:full@8
c04,20363,bm25:full@9
c04,19906,bm25:full@10
c04,20875,bm25:full@11
c04,20530,bm25:full@12
c04,20791,bm25:full@13
c04,5740,bm25:full@14 dense:full@4 hybrid+rerank:full@20 hybrid:full@8 hybrid:text@2 hybrid:text_ocr@2 hybrid:text_ocr_caption@8
c04,5443,bm25:full@15
c04,20549,bm25:full@16
c04,20799,bm25:full@17
c04,5506,bm25:full@18 sparse:full@10
c04,20742,bm25:full@19
c04,21085,bm25:full@20 dense:full@17
c04,20284,dense:full@1 hybrid+rerank:full@6 hybrid+rerank:text@5 hybrid+rerank:text_ocr_caption@6 hybrid:full@3 hybrid:text@5 hybrid:text_ocr@5 hybrid:text_ocr_caption@3
c04,4749,dense:full@2 hybrid:full@4 hybrid:text@7 hybrid:text_ocr@7 hybrid:text_ocr_caption@4
c04,5585,dense:full@3 hybrid+rerank:full@16 hybrid:full@1 hybrid:text@3 hybrid:text_ocr@3 hybrid:text_ocr_caption@1 sparse:full@2
c04,5561,dense:full@5 hybrid+rerank:full@3 hybrid+rerank:text@2 hybrid+rerank:text_ocr_caption@3 hybrid:full@9 hybrid:text@8 hybrid:text_ocr@8 hybrid:text_ocr_caption@9
c04,4765,dense:full@6
c04,20958,dense:full@7 hybrid+rerank:full@10 hybrid+rerank:text@9 hybrid+rerank:text_ocr_caption@10
c04,5275,dense:full@8
c04,20834,dense:full@9 hybrid+rerank:full@7 hybrid+rerank:text@6 hybrid+rerank:text_ocr_caption@7
c04,4082,dense:full@10
c04,4915,dense:full@11
c04,18251,dense:full@13 hybrid:full@10 hybrid:text@10 hybrid:text_ocr@10 hybrid:text_ocr_caption@10 sparse:full@7
c04,5595,dense:full@14 hybrid+rerank:full@4 hybrid+rerank:text@3 hybrid+rerank:text_ocr_caption@4 hybrid:full@7 hybrid:text@4 hybrid:text_ocr@4 hybrid:text_ocr_caption@7 sparse:full@5
c04,5945,dense:full@15 hybrid+rerank:full@15 sparse:full@8
c04,5837,dense:full@16 hybrid+rerank:full@1 hybrid+rerank:text@1 hybrid+rerank:text_ocr_caption@1 hybrid:full@5 hybrid:text@6 hybrid:text_ocr@6 hybrid:text_ocr_caption@5 sparse:full@3
c04,5495,dense:full@18 hybrid+rerank:full@17
c04,21187,dense:full@19 hybrid+rerank:full@8 hybrid+rerank:text@7 hybrid+rerank:text_ocr_caption@8 hybrid:full@6 hybrid:text@9 hybrid:text_ocr@9 hybrid:text_ocr_caption@6 sparse:full@4
c04,21102,dense:full@20 hybrid+rerank:full@19
c04,6133,hybrid+rerank:full@11 hybrid+rerank:text@10 sparse:full@6
c04,15045,sparse:full@9
c04,5934,hybrid+rerank:full@5 hybrid+rerank:text_ocr_caption@5
c04,21627,hybrid+rerank:full@9 hybrid+rerank:text@8 hybrid+rerank:text_ocr_caption@9
c04,21371,hybrid+rerank:full@12
c04,21002,hybrid+rerank:full@13
c04,5565,hybrid+rerank:full@14
c04,6024,hybrid+rerank:full@18
c05,3579,bm25:full@1 dense:full@1 hybrid+rerank:full@2 hybrid+rerank:text@2 hybrid+rerank:text_ocr_caption@2 hybrid:full@1 hybrid:text@1 hybrid:text_ocr@1 hybrid:text_ocr_caption@1 sparse:full@3
c05,3659,bm25:full@2 dense:full@17
c05,3574,bm25:full@3 dense:full@10
c05,2621,bm25:full@4 dense:full@2 hybrid+rerank:full@1 hybrid+rerank:text@1 hybrid+rerank:text_ocr_caption@1 hybrid:full@3 hybrid:text@3 hybrid:text_ocr@3 hybrid:text_ocr_caption@3 sparse:full@4
c05,3588,bm25:full@5 dense:full@15 hybrid+rerank:full@4 hybrid+rerank:text@4 hybrid+rerank:text_ocr_caption@4 hybrid:full@4 hybrid:text@4 hybrid:text_ocr@4 hybrid:text_ocr_caption@4 sparse:full@2
c05,3760,bm25:full@6 dense:full@7 hybrid:text@9 hybrid:text_ocr@9
c05,6149,bm25:full@7 dense:full@4 hybrid+rerank:full@16 hybrid:full@6 hybrid:text@6 hybrid:text_ocr@6 hybrid:text_ocr_caption@6 sparse:full@10
c05,4663,bm25:full@8 hybrid+rerank:full@13
c05,4027,bm25:full@9 dense:full@11 hybrid+rerank:full@6 hybrid+rerank:text@7 hybrid+rerank:text_ocr_caption@6 hybrid:full@7 hybrid:text@7 hybrid:text_ocr@7 hybrid:text_ocr_caption@7 sparse:full@5
c05,2698,bm25:full@10 dense:full@8 hybrid+rerank:full@14 hybrid:full@8 hybrid:text@8 hybrid:text_ocr@8 hybrid:text_ocr_caption@8 sparse:full@7
c05,2717,bm25:full@11 dense:full@12 hybrid+rerank:full@15
c05,13002,bm25:full@12
c05,4715,bm25:full@13
c05,5254,bm25:full@14 dense:full@3 hybrid+rerank:full@18 hybrid:full@5 hybrid:text@5 hybrid:text_ocr@5 hybrid:text_ocr_caption@5
c05,4605,bm25:full@15 dense:full@20 hybrid+rerank:full@20
c05,2324,bm25:full@16
c05,4526,bm25:full@17
c05,4574,bm25:full@18
c05,4664,bm25:full@19
c05,4570,bm25:full@20
c05,3567,dense:full@5 hybrid+rerank:full@11 hybrid:full@9 hybrid:text_ocr_caption@9
c05,3520,dense:full@6 hybrid+rerank:full@5 hybrid+rerank:text@6 hybrid+rerank:text_ocr_caption@5
c05,3582,dense:full@9 hybrid+rerank:full@3 hybrid+rerank:text@3 hybrid+rerank:text_ocr_caption@3 hybrid:full@2 hybrid:text@2 hybrid:text_ocr@2 hybrid:text_ocr_caption@2 sparse:full@1
c05,3457,dense:full@13 hybrid+rerank:full@12
c05,2291,dense:full@14 hybrid+rerank:full@8 hybrid+rerank:text@8 hybrid+rerank:text_ocr_caption@8 hybrid:full@10 hybrid:text@10 hybrid:text_ocr@10 hybrid:text_ocr_caption@10 sparse:full@6
c05,3725,dense:full@16 hybrid+rerank:full@17 sparse:full@9
c05,6131,dense:full@18 hybrid+rerank:full@7 hybrid+rerank:text_ocr_caption@7
c05,3592,dense:full@19
c05,2654,hybrid+rerank:full@9 hybrid+rerank:text@9 hybrid+rerank:text_ocr_caption@9 sparse:full@8
c05,3568,hybrid+rerank:full@10 hybrid+rerank:text@10 hybrid+rerank:text_ocr_caption@10
c05,2248,hybrid+rerank:full@19
c05,1708,hybrid+rerank:text@5
c06,7713,bm25:full@1 dense:full@1 hybrid+rerank:full@4 hybrid+rerank:text_ocr_caption@4 hybrid:full@1 hybrid:text_ocr_caption@1 sparse:full@6
c06,7729,bm25:full@2 dense:full@3 hybrid+rerank:full@2 hybrid+rerank:text@3 hybrid+rerank:text_ocr_caption@2 hybrid:full@3 hybrid:text@10 hybrid:text_ocr@7 hybrid:text_ocr_caption@3 sparse:full@4
c06,7745,bm25:full@3 hybrid+rerank:full@1 hybrid+rerank:text_ocr_caption@1 hybrid:full@5 hybrid:text_ocr_caption@5 sparse:full@2
c06,7761,bm25:full@4 hybrid+rerank:full@3 hybrid+rerank:text_ocr_caption@3 hybrid:full@2 hybrid:text_ocr@3 hybrid:text_ocr_caption@2 sparse:full@1
c06,7412,bm25:full@5 dense:full@11 hybrid+rerank:full@20
c06,7430,bm25:full@6 dense:full@6 hybrid+rerank:full@19 hybrid:text@8 hybrid:text_ocr@8
c06,7446,bm25:full@7 dense:full@18
c06,7462,bm25:full@8 dense:full@19 hybrid+rerank:full@15
c06,7478,bm25:full@9 dense:full@5 hybrid+rerank:full@13 hybrid+rerank:text@10 hybrid:full@9 hybrid:text@5 hybrid:text_ocr@5 hybrid:text_ocr_caption@9
c06,7494,bm25:full@10 dense:full@8 hybrid+rerank:full@17 hybrid:text@9
c06,7510,bm25:full@11 dense:full@16
c06,7526,bm25:full@12 dense:full@20 hybrid+rerank:full@16
c06,7542,bm25:full@13 dense:full@13 hybrid+rerank:full@18 hybrid:text@7 hybrid:text_ocr@10 sparse:full@8
c06,7558,bm25:full@14 dense:full@15 hybrid+rerank:full@11 hybrid+rerank:text@8 hybrid:full@10 hybrid:text@6 hybrid:text_ocr@9 hybrid:text_ocr_caption@10 sparse:full@7
c06,7574,bm25:full@15 dense:full@4 hybrid+rerank:full@9 hybrid+rerank:text@6 hybrid+rerank:text_ocr_caption@9 hybrid:full@6 hybrid:text@1 hybrid:text_ocr@2 hybrid:text_ocr_caption@6 sparse:full@5
c06,7589,bm25:full@16 dense:full@14 hybrid+rerank:full@12 hybrid+rerank:text@9
c06,7604,bm25:full@17 dense:full@12 hybrid+rerank:full@8 hybrid+rerank:text@5 hybrid+rerank:text_ocr_caption@8 hybrid:full@7 hybrid:text@3 hybrid:text_ocr@4 hybrid:text_ocr_caption@7 sparse:full@3
c06,7619,bm25:full@18 dense:full@9 hybrid+rerank:full@6 hybrid+rerank:text@2 hybrid+rerank:text_ocr_caption@6
c06,7648,bm25:full@19 dense:full@2 hybrid+rerank:full@5 hybrid+rerank:text@1 hybrid+rerank:text_ocr_caption@5 hybrid:full@4 hybrid:text@2 hybrid:text_ocr@1 hybrid:text_ocr_caption@4 sparse:full@10
c06,7663,bm25:full@20 dense:full@17 hybrid+rerank:full@14
c06,7681,dense:full@7 hybrid+rerank:full@7 hybrid+rerank:text@4 hybrid+rerank:text_ocr_caption@7 hybrid:full@8 hybrid:text@4 hybrid:text_ocr@6 hybrid:text_ocr_caption@8 sparse:full@9
c06,7697,dense:full@10 hybrid+rerank:full@10 hybrid+rerank:text@7 hybrid+rerank:text_ocr_caption@10
c07,18955,bm25:full@1
c07,18420,bm25:full@2 dense:full@2 hybrid+rerank:full@2 hybrid+rerank:text@2 hybrid+rerank:text_ocr_caption@2 hybrid:full@2 hybrid:text@2 hybrid:text_ocr@2 hybrid:text_ocr_caption@2 sparse:full@2
c07,18130,bm25:full@3 dense:full@3 hybrid+rerank:full@5 hybrid+rerank:text@5 hybrid+rerank:text_ocr_caption@5 hybrid:full@3 hybrid:text@3 hybrid:text_ocr@3 hybrid:text_ocr_caption@3 sparse:full@3
c07,4149,bm25:full@4 dense:full@1 hybrid+rerank:full@1 hybrid+rerank:text@1 hybrid+rerank:text_ocr_caption@1 hybrid:full@1 hybrid:text@1 hybrid:text_ocr@1 hybrid:text_ocr_caption@1 sparse:full@1
c07,18616,bm25:full@5 dense:full@20 hybrid:full@6 hybrid:text@6 hybrid:text_ocr@6 hybrid:text_ocr_caption@6 sparse:full@4
c07,2596,bm25:full@6
c07,18141,bm25:full@7 dense:full@7 hybrid+rerank:full@4 hybrid+rerank:text@4 hybrid+rerank:text_ocr_caption@4 hybrid:full@5 hybrid:text@5 hybrid:text_ocr@5 hybrid:text_ocr_caption@5 sparse:full@6
c07,22767,bm25:full@8
c07,9022,bm25:full@9
c07,24689,bm25:full@10
c07,2698,bm25:full@11
c07,18091,bm25:full@12
c07,25110,bm25:full@13
c07,6085,bm25:full@14
c07,20181,bm25:full@15
c07,19983,bm25:full@16
c07,11711,bm25:full@17
c07,22568,bm25:full@18
c07,21703,bm25:full@19
c07,24620,bm25:full@20
c07,7946,dense:full@4 hybrid+rerank:full@3 hybrid+rerank:text@3 hybrid+rerank:text_ocr_caption@3 hybrid:full@4 hybrid:text@4 hybrid:text_ocr@4 hybrid:text_ocr_caption@4 sparse:full@5
c07,5261,dense:full@5 hybrid+rerank:full@17 hybrid:full@7 hybrid:text@7 hybrid:text_ocr@7 hybrid:text_ocr_caption@7
c07,2214,dense:full@6 hybrid:full@8 hybrid:text@8 hybrid:text_ocr@8 hybrid:text_ocr_caption@8
c07,2865,dense:full@8 hybrid+rerank:full@20
c07,25764,dense:full@9
c07,24839,dense:full@10
c07,4240,dense:full@11 hybrid+rerank:full@14
c07,20908,dense:full@12 hybrid+rerank:full@10 hybrid+rerank:text@10 hybrid+rerank:text_ocr_caption@10
c07,25175,dense:full@13 hybrid+rerank:full@12
c07,20900,dense:full@14 hybrid+rerank:full@11 hybrid:full@9 hybrid:text@9 hybrid:text_ocr@9 hybrid:text_ocr_caption@9
c07,25288,dense:full@15 hybrid+rerank:full@13
c07,5373,dense:full@16
c07,20259,dense:full@17 hybrid+rerank:full@16
c07,3635,dense:full@18 hybrid+rerank:full@15
c07,24827,dense:full@19
c07,6326,hybrid:full@10 hybrid:text@10 hybrid:text_ocr@10 hybrid:text_ocr_caption@10 sparse:full@7
c07,3762,sparse:full@8
c07,23292,sparse:full@9
c07,23546,sparse:full@10
c07,4093,hybrid+rerank:full@6 hybrid+rerank:text@6 hybrid+rerank:text_ocr_caption@6
c07,6840,hybrid+rerank:full@7 hybrid+rerank:text@7 hybrid+rerank:text_ocr_caption@7
c07,7924,hybrid+rerank:full@8 hybrid+rerank:text@8 hybrid+rerank:text_ocr_caption@8
c07,25174,hybrid+rerank:full@9 hybrid+rerank:text@9 hybrid+rerank:text_ocr_caption@9
c07,3747,hybrid+rerank:full@18
c07,18122,hybrid+rerank:full@19
c08,7120,bm25:full@1
c08,6841,bm25:full@2
c08,18100,bm25:full@3 dense:full@2 hybrid+rerank:full@3 hybrid+rerank:text@3 hybrid+rerank:text_ocr_caption@3 hybrid:full@3 hybrid:text@3 hybrid:text_ocr@2 hybrid:text_ocr_caption@3 sparse:full@2
c08,16916,bm25:full@4
c08,4295,bm25:full@5 dense:full@1 hybrid+rerank:full@1 hybrid+rerank:text@1 hybrid+rerank:text_ocr_caption@1 hybrid:full@1 hybrid:text@2 hybrid:text_ocr@1 hybrid:text_ocr_caption@1 sparse:full@3
c08,4848,bm25:full@6
c08,9325,bm25:full@7 hybrid+rerank:full@7 hybrid+rerank:text_ocr_caption@7 hybrid:full@5 hybrid:text_ocr@4 hybrid:text_ocr_caption@5 sparse:full@4
c08,19769,bm25:full@8 hybrid+rerank:full@8 hybrid+rerank:text@6 hybrid+rerank:text_ocr_caption@8
c08,5202,bm25:full@9 dense:full@17
c08,5022,bm25:full@10 hybrid+rerank:full@9 hybrid+rerank:text@7 hybrid+rerank:text_ocr_caption@9 hybrid:full@6 hybrid:text@4 hybrid:text_ocr@6 hybrid:text_ocr_caption@6 sparse:full@5
c08,1754,bm25:full@11 dense:full@3 hybrid+rerank:full@5 hybrid+rerank:text_ocr_caption@5 hybrid:full@4 hybrid:text_ocr@5 hybrid:text_ocr_caption@4
c08,19359,bm25:full@12
c08,8336,bm25:full@13
c08,12820,bm25:full@14
c08,12958,bm25:full@15
c08,13587,bm25:full@16
c08,21251,bm25:full@17
c08,4825,bm25:full@18
c08,5185,bm25:full@19
c08,12791,bm25:full@20
c08,7939,dense:full@4 hybrid+rerank:full@4 hybrid+rerank:text@4 hybrid+rerank:text_ocr_caption@4 hybrid:full@2 hybrid:text@1 hybrid:text_ocr@3 hybrid:text_ocr_caption@2 sparse:full@1
c08,3883,dense:full@5 hybrid:full@7 hybrid:text@5 hybrid:text_ocr@8 hybrid:text_ocr_caption@7
c08,4385,dense:full@6 hybrid:full@10 hybrid:text@7 hybrid:text_ocr@10 hybrid:text_ocr_caption@10
c08,18114,dense:full@7 hybrid+rerank:full@20 hybrid:text@9
c08,20410,dense:full@8
c08,5478,dense:full@9
c08,3154,dense:full@10
c08,5157,dense:full@11
c08,4330,dense:full@12 hybrid+rerank:full@19
c08,21973,dense:full@13 hybrid+rerank:full@15
c08,20022,dense:full@14
c08,21303,dense:full@15
c08,21916,dense:full@16 hybrid+rerank:full@17
c08,21630,dense:full@18
c08,2430,dense:full@19 hybrid+rerank:full@2 hybrid+rerank:text@2 hybrid+rerank:text_ocr_caption@2 hybrid:text@8 hybrid:text_ocr@9 sparse:full@10
c08,18313,dense:full@20
c08,1964,hybrid:full@9 hybrid:text_ocr_caption@9 sparse:full@6
c08,7955,hybrid+rerank:full@14 hybrid:full@8 hybrid:text@6 hybrid:text_ocr@7 hybrid:text_ocr_caption@8 sparse:full@7
c08,6639,hybrid+rerank:full@10 hybrid+rerank:text@9 hybrid+rerank:text_ocr_caption@10 hybrid:text@10 sparse:full@8
c08,3926,sparse:full@9
c08,6437,hybrid+rerank:full@6 hybrid+rerank:text@5 hybrid+rerank:text_ocr_caption@6
c08,3906,hybrid+rerank:full@11
c08,19908,hybrid+rerank:full@12
c08,19015,hybrid+rerank:full@13
c08,4200,hybrid+rerank:full@16
c08,20525,hybrid+rerank:full@18
c08,4108,hybrid+rerank:text@8
c08,19467,hybrid+rerank:text@10
c09,21618,bm25:full@1 hybrid:full@4 hybrid:text@4 hybrid:text_ocr@4 hybrid:text_ocr_caption@4 sparse:full@2
c09,3468,bm25:full@2 dense:full@2 hybrid+rerank:full@5 hybrid+rerank:text@5 hybrid+rerank:text_ocr_caption@5 hybrid:full@1 hybrid:text@1 hybrid:text_ocr@1 hybrid:text_ocr_caption@1 sparse:full@3
c09,2695,bm25:full@3 hybrid:full@8 hybrid:text@8 hybrid:text_ocr@8 hybrid:text_ocr_caption@8 sparse:full@5
c09,7796,bm25:full@4
c09,6551,bm25:full@5 dense:full@3 hybrid+rerank:full@1 hybrid+rerank:text@1 hybrid+rerank:text_ocr_caption@1 hybrid:full@5 hybrid:text@5 hybrid:text_ocr@5 hybrid:text_ocr_caption@5
c09,2516,bm25:full@6
c09,5323,bm25:full@7 sparse:full@10
c09,20156,bm25:full@8
c09,5380,bm25:full@9
c09,2356,bm25:full@10
c09,11024,bm25:full@11
c09,3984,bm25:full@12
c09,2669,bm25:full@13
c09,2456,bm25:full@14 hybrid+rerank:full@7 hybrid+rerank:text@7 hybrid+rerank:text_ocr_caption@7 sparse:full@7
c09,3930,bm25:full@15
c09,7656,bm25:full@16
c09,19683,bm25:full@17
c09,6756,bm25:full@18
